Pro #,Purchase Order #,Bill of Lading #,Other IDs,Shipment Status,Transit Delivery Exception,Standard Due Date,Customer Req. Due Date,Direction,Origin Terminal,Destination Terminal,Destination Terminal Phone,Current Terminal,Pickup Date,Arrival Date,Appointment Date,Appointment Begin Time,Appointment End Time,Delivery Date,Shipper Acct #,Shipper Name,Shipper Address,Shipper City,Shipper State,Shipper Zip,Consignee Acct #,Consignee Name,Consignee Address,Consignee City,Consignee State,Consignee Zip,Third Party Acct #,Third Party Name,Third Party Address,Third Party City,Third Party State,Third Party Zip,Pieces,Weight*,Pallets,Charges*,Time Critical Flag,Quote #
2248111504,NS,RA81972022047,0081090689,Out for Delivery,Appointment,04/01/2022,,THIRD PARTY,DENVER - DEN (224),SOUTH BOSTON - SBV (103),(434) 572-2097,SOUTH BOSTON - SBV (103),03/28/2022,04/01/2022,04/04/2022,00:00,15:30,,0060359,MCLANE WESTERN,2100 E KENT PRATT BLVD,LONGMONT,CO,80504,1037777,US FLUE CURED TOBACCO GROWER,250 CROWN BLVD,TIMBERLAKE,NC,27583,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,350,1,$0.00,N,
1030564801,NCD103383,80188646,0081925330,At Intermediate Terminal,,05/04/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),JERSEY CITY - JCT (176),(201) 721-7030,HARRISBURG - HAR (024),05/02/2022,05/03/2022,,,,,1037777,USFC TG TIMBERLAKE,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,5935104,HAROLD LEVINSON ASSOC INC,21 BANDI PLZ W,FARMINGDALE,NY,11735,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,3,"1,776",3,$0.00,N,
1278058806,NS,RA8198-2022-048,0081119660,Out for Delivery,Appointment,04/01/2022,,THIRD PARTY,SOUTH BEND - SBD (127),SOUTH BOSTON - SBV (103),(434) 572-2097,SOUTH BOSTON - SBV (103),03/30/2022,04/01/2022,04/04/2022,00:00,15:30,,B054515,RICHMOND MASTERS DISTRIBUTORS,4202 TECHNOLOGY DR,SOUTH BEND,IN,46628,1037777,U.S. FLUE-CURED TOBACCO GROWER,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,325,1,$0.00,N,
1030564802,317114,NS,0081925330,At Intermediate Terminal,,05/04/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),CINCINNATI - CIN (062),(513) 779-9581,CHARLOTTE - CHA (010),05/02/2022,05/02/2022,,,,,1037777,USFCTG,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,B053991,TOPICZ WHOLESALE,2121 SECTOPM RD,CINCINNATI,OH,45237,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,522,1,$0.00,N,
1030564806,SE1009678301,NS,0081925330,At Destination Terminal,,05/03/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),ATHENS - ATH (047),(706) 549-1310,ATHENS - ATH (047),05/02/2022,05/03/2022,,,,,1037777,USFCTG,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,4756160,MCLANE SOUTHEAST,5505 OLD HULL ROAD,ATHENS,GA,30603,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,20,458,1,$0.00,N,
1030553069,170408,80184476,0081187600,Out for Delivery,,04/04/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),JACKSONVILLE - JAX (045),(904) 384-2277,JACKSONVILLE - JAX (045),03/31/2022,04/01/2022,,,,,1037777,USFC TG TIMBERLAKE,250 CROWN BLVD,TIMBERLAKE,NC,27583,4078135,STEWART CANDY CO,400 BONNYMAN RD,BLACKSHEAR,GA,31516,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,132,1,$0.00,N,
1030451380,9115730,80188289,,At Destination Terminal,Appointment,04/28/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),THOROFARE - THO (097),(856) 381-4909,THOROFARE - THO (097),04/27/2022,04/28/2022,05/04/2022,10:00,12:00,,1037777,USFC TG  TIMBERLAKE,250 CROWN BLVD,TIMBERLAKE,NC,27583,2772981,LJ ZUCCA,760 S DELSEA DR,VINELAND,NJ,08360,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,374,1,$0.00,N,
1030553099,316515,NS,0081525944,At Destination Terminal,Appointment,04/18/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),CINCINNATI - CIN (062),(513) 779-9581,CINCINNATI - CIN (062),04/14/2022,04/16/2022,04/19/2022,09:30,09:30,,1037777,USFCTG,250 CROWN BLVD,TIMBERLAKE,NC,27583,B053991,TOPICZ WHOLESALE,2121 SECTION RD,CINCINNATI,OH,45237,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,31,533,1,$0.00,N,
1030553098,9115518,80186558,0081525944,At Intermediate Terminal,,04/15/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),THOROFARE - THO (097),(856) 381-4909,HARRISBURG - HAR (024),04/14/2022,04/16/2022,,,,,1037777,USFC TG TIMBERLAKE,250 CROWN BLVD,TIMBERLAKE,NC,27583,2772981,LJ ZUCCA,760 S. DELSEA DR.,VINELAND,NJ,08360,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,548,1,$0.00,N,
1030564804,12425,NS,0081925330,At Intermediate Terminal,,05/04/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),METHUEN - MET (070),(978) 552-1361,HARRISBURG - HAR (024),05/02/2022,05/03/2022,,,,,1037777,USFCTG,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,7000777,EAST WEST DISTRIBUTORS INC,15 BATCHELDER ROAD,SEABROOK,NH,03874,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,953,1,$0.00,N,
1030564809,,,,Out for Delivery,,05/03/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),CHARLESTON - CWV (023),(304) 744-2195,CHARLESTON - CWV (023),05/02/2022,05/03/2022,,,,,1037777,USFCTG,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,B053280,HT HACKNEY - CHARLESTON,1 JAMES RIVER TURNPIKE,MILTON,WV,25541,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,266,1,$0.00,N,
1030451381,95505,NS,0081840652,Delivery Completed - OK,,05/02/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),WEST MIDDLESEX - WMX (055),(724) 528-1777,WEST MIDDLESEX - WMX (055),04/28/2022,04/30/2022,,,,05/02/2022,1037777,US FLUE CURED,250 CROWN BLVD,TIMBERLAKE,NC,27583,B054709,ABL WHOLESALE DISTRIBUTORS INC,44488 OH-14,COLUMBIANA,OH,44408,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,33,669,1,$0.00,N,
1030554050,5235,NS,0081925330,Out for Delivery,,05/03/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),RICHMOND - RIC (001),(804) 233-6900,RICHMOND - RIC (001),05/02/2022,05/02/2022,,,,,1037777,USFCTG,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,0111829,CALIFORNIA IMPORTS LLC,10423 LEADBETTER RD,ASHLAND,VA,23005,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,"1,216",1,$0.00,N,
1030564803,,,,Out for Delivery,,05/03/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),ALLENTOWN - ALN (026),(610) 683-9935,ALLENTOWN - ALN (026),05/02/2022,05/03/2022,,,,,1037777,USFC TG TIMBERLAKE,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,2600777,MILLER DISTRIBUTING,300 S FOURTH ST,ST CLAIR,PA,17970,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,169,1,$0.00,N,
1030564807,322416,NS,0081925330,At Intermediate Terminal,,05/04/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),MONTPELIER - MTP (188),(802) 223-1063,HARRISBURG - HAR (024),05/02/2022,05/03/2022,,,,,1037777,USFCTG,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,B054267,CAPITAL CANDY CO,32 BURNHAM ST,BARRE,VT,05641,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,494,1,$0.00,N,
1030564808,,,,At Destination Terminal,,05/03/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),WILSON - WIL (016),(252) 237-6127,WILSON - WIL (016),05/02/2022,05/03/2022,,,,,1037777,USFCTG TIMBERLAKE,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,1656510,MCLANE CAROLINA,7253 NC-4,BATTLEBORO,NC,27809,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,1,"1,012",1,$0.00,N,
1030564805,,,,Out for Delivery,,05/03/2022,,THIRD PARTY,SOUTH BOSTON - SBV (103),HICKORY - HIC (018),(828) 465-1231,HICKORY - HIC (018),05/02/2022,05/03/2022,,,,,1037777,USFCTG,250 CROWN BOULEVARD,TIMBERLAKE,NC,27583,1800777,TOBACCO WORLD,2208 1ST AVE SW,HICKORY,NC,28602,5068692,PREMIER MANUFACTURING,629 CEPI DR,CHESTERFIELD,MO,63005,26,480,1,$0.00,N,
0220975560,DOMHETB1212,8267828,,At Destination Terminal,Appointment,04/01/2022,,OUTBOUND,ASHEVILLE - ASH (022),LAS VEGAS - LVS (227),(702) 399-4981,LAS VEGAS - LVS (227),03/25/2022,04/02/2022,04/06/2022,09:00,13:00,,2205132,"ARMSTRONG FLOORING, INC.",179 MERRIMON AVE.,WEAVERVILLE,NC,28787,2277777,TRI-WEST LTD,7020 W WARM SPRINGS RD,LAS VEGAS,NV,89113,B070003,ARMSTRONG FLOORING,% TBL SERVICES,ALLENTOWN,PA,18106,1,75,1,$144.20,N,
3910286122,DOMHETB5455,8267839,,At Intermediate Terminal,,04/19/2022,,OUTBOUND,RANCHO CUCAMONGA - RCU (391),CHATTANOOGA - CHT (038),(423) 894-8855,HUNTSVILLE - HTV (036),04/12/2022,04/18/2022,,,,,2205132,"ARMSTRONG FLOORING, INC.",179 MERRIMON AVE.,RANCHO CUCAMONGA,CA,91730,3917777,GENCO DISTRIBUTION-AFP SAMPLES,3011 PARQUET DRIVE,DALTON,GA,30720,B070003,ARMSTRONG FLOORING,% TBL SERVICES,ALLENTOWN,PA,18106,1,75,1,$176.83,N,
0220975571,DOMHETB5557,8267841,,At Intermediate Terminal,,03/30/2022,,OUTBOUND,ASHEVILLE - ASH (022),QUEBEC CITY - QBC (306),(888) 588-0750,MONTREAL - MTR (305),03/25/2022,03/29/2022,,,,,2205132,ARMSTRONG FLOORING INC,% THE SAMPLE GROUP,WEAVERVILLE,NC,28787,3067777,FRANCOIS CHARETTE ATTN UHAUL S,C/O ARMSTRONE FLOORING CANADA,QUEBEC,PQ,G2C1Z9,B070003,ARMSTRONG FLOORING,% TBL SERVICES,ALLENTOWN,PA,18106,1,120,1,$208.20,N,
0220975557,DOMHETB2627,8267831,,At Intermediate Terminal,Appointment,03/31/2022,,OUTBOUND,ASHEVILLE - ASH (022),SAN DIEGO - SAD (292),(619) 425-4040,ALBUQUERQUE - ABQ (229),03/25/2022,04/02/2022,04/07/2022,10:00,14:00,,2205132,ARMSTRONG FLOORING,% THE SAMPLE GROUP,WEAVERVILLE,NC,28787,2927777,TRI WEST,9330 CARROL APRK DR,SAN DIEGO,CA,92121,B070003,ARMSTRONG FLOORING,% TBL SERVICES,ALLENTOWN,PA,18106,1,75,1,$176.83,N,
0220975558,DOMHETB3637,8267830,,At Intermediate Terminal,Appointment,03/31/2022,,OUTBOUND,ASHEVILLE - ASH (022),SAN DIEGO - SAD (292),(619) 425-4040,ALBUQUERQUE - ABQ (229),03/25/2022,04/02/2022,04/07/2022,10:00,14:00,,2205132,ARMSTRONG FLOORING INC,179 MERRIMON AVE,WEAVERVILLE,NC,28787,2927777,TRI-WEST,9330 CAROLL PARK DR,SAN DIEGO,CA,92121,B070003,ARMSTRONG FLOORING,% TBL SERVICES,ALLENTOWN,PA,18106,1,75,1,$226.83,N,
0220975600,NS,8287957,0081889884,Delivery Completed - OK,,05/02/2022,,OUTBOUND,ASHEVILLE - ASH (022),CHATTANOOGA - CHT (038),(423) 894-8855,CHATTANOOGA - CHT (038),04/29/2022,04/30/2022,,,,05/02/2022,2205132,ARMSTRONG FLOORING INC,179 MERRIMON DR,WEAVERVILLE,NC,28787,3800777,GENCO NSC,3011 PARQUET DR,DALTON,GA,30720,B070003,ARMSTRONG FLOORING,% TBL SERVICES,ALLENTOWN,PA,18106,5,"6,406",5,$263.36,N,
0220975587,NS,8273359,,Out for Delivery,,04/04/2022,,OUTBOUND,ASHEVILLE - ASH (022),CHATTANOOGA - CHT (038),(423) 894-8855,CHATTANOOGA - CHT (038),03/31/2022,04/02/2022,,,,,2205132,ARMSTRONG FLOORING INC,179 MERRIMON AVE,WEAVERVILLE,NC,28787,3800777,GENCO NSC,3011 PARQUEST DRIVE,DALTON,GA,30720,B070003,ARMSTRONG FLOORING,% TBL SERVICES,ALLENTOWN,PA,18106,13,"15,983",13,$676.24,N,

"* Subject to change upon delivery"